date,home_team,score,away_team
11-12-2021,Liverpool,1 - 0,Aston Villa
16-12-2021,Liverpool,? - ?,Newcastle
15-08-2021,Tottenham,1 - 0,Man City
21-08-2021,Man City,5 - 0,Norwich
28-08-2021,Man City,5 - 0,Arsenal
11-09-2021,Leicester,0 - 1,Man City
18-09-2021,Man City,0 - 0,Southampton
25-09-2021,Chelsea,0 - 1,Man City
03-10-2021,Liverpool,2 - 2,Man City
16-10-2021,Man City,2 - 0,Burnley
23-10-2021,Brighton,1 - 4,Man City
30-10-2021,Man City,0 - 2,Crystal Palace
06-11-2021,Man United,0 - 2,Man City
21-11-2021,Man City,3 - 0,Everton
28-11-2021,Man City,2 - 1,West Ham
01-12-2021,Aston Villa,1 - 2,Man City
04-12-2021,Watford,1 - 3,Man City
11-12-2021,Man City,1 - 0,Wolves
14-12-2021,Man City,? - ?,Leeds
14-08-2021,Man United,5 - 1,Leeds
22-08-2021,Southampton,1 - 1,Man United
29-08-2021,Wolves,0 - 1,Man United
11-09-2021,Man United,4 - 1,Newcastle
19-09-2021,West Ham,1 - 2,Man United
25-09-2021,Man United,0 - 1,Aston Villa
02-10-2021,Man United,1 - 1,Everton
16-10-2021,Leicester,4 - 2,Man United
24-10-2021,Man United,0 - 5,Liverpool
30-10-2021,Tottenham,0 - 3,Man United
06-11-2021,Man United,0 - 2,Man City
20-11-2021,Watford,4 - 1,Man United
28-11-2021,Chelsea,1 - 1,Man United
02-12-2021,Man United,3 - 2,Arsenal
05-12-2021,Man United,1 - 0,Crystal Palace
11-12-2021,Norwich,0 - 1,Man United
14-12-2021,Brentford,? - ?,Man United
15-08-2021,Newcastle,2 - 4,West Ham
21-08-2021,Aston Villa,2 - 0,Newcastle
28-08-2021,Newcastle,2 - 2,Southampton
11-09-2021,Man United,4 - 1,Newcastle
17-09-2021,Newcastle,1 - 1,Leeds
25-09-2021,Watford,1 - 1,Newcastle
02-10-2021,Wolves,2 - 1,Newcastle
17-10-2021,Newcastle,2 - 3,Tottenham
23-10-2021,Crystal Palace,1 - 1,Newcastle
30-10-2021,Newcastle,0 - 3,Chelsea
06-11-2021,Brighton,1 - 1,Newcastle
20-11-2021,Newcastle,3 - 3,Brentford
27-11-2021,Arsenal,2 - 0,Newcastle
30-11-2021,Newcastle,1 - 1,Norwich
04-12-2021,Newcastle,1 - 0,Burnley
12-12-2021,Leicester,4 - 0,Newcastle
16-12-2021,Liverpool,? - ?,Newcastle
14-08-2021,Norwich,0 - 3,Liverpool
21-08-2021,Man City,5 - 0,Norwich
28-08-2021,Norwich,1 - 2,Leicester
11-09-2021,Arsenal,1 - 0,Norwich
18-09-2021,Norwich,1 - 3,Watford
25-09-2021,Everton,2 - 0,Norwich
02-10-2021,Burnley,0 - 0,Norwich
16-10-2021,Norwich,0 - 0,Brighton
23-10-2021,Chelsea,7 - 0,Norwich
31-10-2021,Norwich,1 - 2,Leeds
06-11-2021,Brentford,1 - 2,Norwich
20-11-2021,Norwich,2 - 1,Southampton
27-11-2021,Norwich,0 - 0,Wolves
30-11-2021,Newcastle,1 - 1,Norwich
05-12-2021,Tottenham,3 - 0,Norwich
11-12-2021,Norwich,0 - 1,Man United
14-12-2021,Norwich,? - ?,Aston Villa
14-08-2021,Everton,3 - 1,Southampton
22-08-2021,Southampton,1 - 1,Man United
28-08-2021,Newcastle,2 - 2,Southampton
11-09-2021,Southampton,0 - 0,West Ham
18-09-2021,Man City,0 - 0,Southampton
26-09-2021,Southampton,0 - 1,Wolves
02-10-2021,Chelsea,3 - 1,Southampton
16-10-2021,Southampton,1 - 0,Leeds
23-10-2021,Southampton,2 - 2,Burnley
30-10-2021,Watford,0 - 1,Southampton
05-11-2021,Southampton,1 - 0,Aston Villa
20-11-2021,Norwich,2 - 1,Southampton
27-11-2021,Liverpool,4 - 0,Southampton
01-12-2021,Southampton,2 - 2,Leicester
04-12-2021,Southampton,1 - 1,Brighton
11-12-2021,Arsenal,3 - 0,Southampton
15-12-2021,Crystal Palace,? - ?,Southampton
15-08-2021,Tottenham,1 - 0,Man City
22-08-2021,Wolves,0 - 1,Tottenham
29-08-2021,Tottenham,1 - 0,Watford
11-09-2021,Crystal Palace,3 - 0,Tottenham
19-09-2021,Tottenham,0 - 3,Chelsea
26-09-2021,Arsenal,3 - 1,Tottenham
03-10-2021,Tottenham,2 - 1,Aston Villa
17-10-2021,Newcastle,2 - 3,Tottenham
24-10-2021,West Ham,1 - 0,Tottenham
30-10-2021,Tottenham,0 - 3,Man United
07-11-2021,Everton,0 - 0,Tottenham
21-11-2021,Tottenham,2 - 1,Leeds
02-12-2021,Tottenham,2 - 0,Brentford
05-12-2021,Tottenham,3 - 0,Norwich
16-12-2021,Leicester,? - ?,Tottenham
14-08-2021,Watford,3 - 2,Aston Villa
21-08-2021,Brighton,2 - 0,Watford
29-08-2021,Tottenham,1 - 0,Watford
11-09-2021,Watford,0 - 2,Wolves
18-09-2021,Norwich,1 - 3,Watford
25-09-2021,Watford,1 - 1,Newcastle
02-10-2021,Leeds,1 - 0,Watford
16-10-2021,Watford,0 - 5,Liverpool
23-10-2021,Everton,2 - 5,Watford
30-10-2021,Watford,0 - 1,Southampton
07-11-2021,Arsenal,1 - 0,Watford
20-11-2021,Watford,4 - 1,Man United
28-11-2021,Leicester,4 - 2,Watford
01-12-2021,Watford,1 - 2,Chelsea
04-12-2021,Watford,1 - 3,Man City
10-12-2021,Brentford,2 - 1,Watford
15-12-2021,Burnley,? - ?,Watford
15-08-2021,Newcastle,2 - 4,West Ham
23-08-2021,West Ham,4 - 1,Leicester
28-08-2021,West Ham,2 - 2,Crystal Palace
11-09-2021,Southampton,0 - 0,West Ham
19-09-2021,West Ham,1 - 2,Man United
25-09-2021,Leeds,1 - 2,West Ham
03-10-2021,West Ham,1 - 2,Brentford
17-10-2021,Everton,0 - 1,West Ham
24-10-2021,West Ham,1 - 0,Tottenham
31-10-2021,Aston Villa,1 - 4,West Ham
07-11-2021,West Ham,3 - 2,Liverpool
20-11-2021,Wolves,1 - 0,West Ham
28-11-2021,Man City,2 - 1,West Ham
01-12-2021,West Ham,1 - 1,Brighton
04-12-2021,West Ham,3 - 2,Chelsea
12-12-2021,Burnley,0 - 0,West Ham
